"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25"
"1",0,0,0.00307290068436066,0.0157480842685472,0,0,0.0148150693517438,0.0137679601668202,0.00250697904452454,0.00591353561016053,0.0174590410766633,0.00247670333934714,0.00223440921442116,0,0.00468473686467633,0,0.00713983085810671,0.00663795937118774,0.00628012859893114,-0.00236900468435281,0.00247892501172301,0,0,0,0.0127294057637573
"2",0,0,0.0864468202097162,0.21540379461456,0,0,0.0151408408543124,0.00447981398252027,0.0153196031140493,0.00143715269229331,0.0224997420921168,0.00953283397266165,0,0.00271609955547261,0.00835959823864352,0.00278106251450842,0.0102925966496444,0.00427163592037619,0.00252288648911851,0,0.00143846356835019,0.00764627285683537,0.00454454961450972,0.00770731907727706,0
"3",0,0.0677798635392175,0,0.00421472487265222,0.0534601428548951,0.003570138506319,0.0209005856800514,0.0163588628143316,0.0112375305655258,0.0206308959209604,0.0273435366031805,0.0160460166165412,0.00127348294637742,0.00355119983039639,0.00266339823128757,0,9.46992428263406e-05,0.00386579180155018,0.00998073934967829,0,0.00753541482639978,0,0.0101520790320823,0.00225812027906756,-0.00179033593033069
"4",0,0.141753308372469,0,0,0.0138544105916014,0.00684232675744459,0.0295827827013792,0.0692469239529653,0.0154019829470416,0.013385406765833,0.000415482468273504,0.0159835073014022,0.00761308753624933,0.0105117294498338,0,0,-0.00610122907647194,-0.00240676167121259,0.00221498501220164,0.00830493401493854,0.00640397198337782,0.00152057940472486,0,0.0145686018010847,0.0149628965719311
"5",0,0,0.0358803238552359,0.0161305272106267,0,0,0.105572308904387,0.0685640144598672,0.0286789817078011,0.0191494205370265,0.0108384854351335,0.0172857189683192,0,0.0191749580683768,0.00527517115333922,0,0,0.00169708522530822,0.0108595819080639,0.008341774604858,0.0123556567166726,0,-0.00610959910147241,0,-0.00507963359572716
"6",0,0,0,0.000325993114058386,0,0,0.0147448053466656,0.0019658679132576,0.00535601341650699,0,0,0.0225018593093409,0.0448409022209149,0.00196285377026175,0.107164506751357,0,0.0464740293055091,0.0322568288608216,0.0234679564154902,0.0312007219364895,0.013479708320699,0.00801769063658294,0.00331874517373447,0.0032408640608927,0
"7",0,0.0202852490727188,0.0285851593898441,0,0.0674072738982932,0,0,0.0648441460397083,0,0,0.0307380392706705,0.0132089706604261,0,0,0.00964197923678689,0,0.0239172497002724,0,0.00235325121277631,0,0.0242489941672568,0.0280116234816156,0.0214048348218683,0.00346886475611501,0
"8",0,0.00958041167135441,0.00305713131102208,0.0273942667750014,0.0270660558460655,0,0.0508447592120888,0,0,0,-0.00907377490935735,0,0.0161030914780438,0,0.0133102111636336,0,0,0.00599893218997617,0.0322290143851426,0.0303234340446752,0.00599129772357325,0.00142970044169782,0,0,0.00283964228322386
"9",0,0.00498841992874961,0,0.0125163194362238,0.028613565755548,0,0,0.00743701977442816,0,0.0108840772531973,0.0160866193110355,0,0,0.0117161865216675,0.0141701196518417,0,0.00970305353073382,0.00967386547740224,-0.00107225699586615,0.0339211893610848,0.00701300743425241,0.0310287519743352,0.00971972000815408,0,0
"10",0,0,0.00773764391859965,0,0.00143960273713757,-0.00925970841321471,-0.0028476952950492,2.04085114820801e-19,0.0136122828751498,0,0,0,2.53396795136082e-05,0.0179499287723808,0.00589843152986348,0.00438236892997397,0.00777489297764335,0.0180209759904349,0.00426935099218293,0,0.0436122198234616,0.0282246217284992,0.0104950083527111,0.0114840758065355,0.0234410152833784
